Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
73,1.178082191780822,130.38372093023256,99.5,6,37,43,0.09374695151692518,961,0.35645302897278314,5310,0.27568042142230026,3980
Text,Sentiment,main reaction amount,reaction amount,reactions,author
Eine sogenannte illegale Zurückweisung ist nur eine Abwehrreaktion eines Staates auf illegales Eindringen in sein Staatsgebiet. Wer illegal eindringt fliegt auch illegal wieder raus.,['neutral'],LOVE IT,8,15
Dabei ist jeder Pushback ein Erfolg für die Schweiz. Also alles ok Herr Leggeri,['neutral'],GENAU,9,13
Die Berner Polizisten haben sich bei den Aktivisten auf Geheiss der Stadtregierung entschuldigt und ihnen je eine ÖV Tageskarte ausgehändigt damit sie nicht schwarz unterwegs sein müssen.,['neutral'],LOVE IT,115,166
Warum befreien?? Irgendwan haben sie hunger durst oder müssen auf‘s WC. Keine beachtung geben ist das sinnvollste,['neutral'],LOVE IT,248,367
ich bin ein GeschwindigkeitsaktivistHerr Richter...kein Raser.,['negative'],LOVE IT,155,212
Warum muss man die befreienlasst sie doch dort und beachtet sie nicht. Aber man muss ihnen ja unbedingt diese Aufmerksamkeit geben. Somit haben sie das Ziel erreicht 🤷‍♀️,['neutral'],GENAU,202,221
Ich kann verstehen dass man Zeichen aetzen will. Was ich nicht verstehe ist warum auf Steuerkosten die Feuerwehr die Arbeit erledigt. Wer sich ankettet kann sich ja auch wieder entketten. Und Zeit genug ware ja da um die Personalien aufzunehmen und entsprechende hohe Bussen auszusprechen.,['neutral'],GENAU,181,201
Diese Kosten will ich nicht finanzieren!! Wenn sie sich festkleben oder anbinden oder antakkern ist mir das völlig wurscht. Macht euer Ding  wenn ihr müsst- bloss lasst alle anderen Menschen in Ruhe!,['negative'],LOVE IT,108,165
Warum beffeien? Lasst die Aktivisten doch angekettet. Schadet ja niemanden.,['negative'],LOVE IT,107,143
Ich hätte die Demonstrierenden bis am Montagmorgen angekettet gelassen! -),['neutral'],LOVE IT,111,149
