Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
1626,1.4514145141451416,150.3449152542373,108.0,160,910,1281,0.036777468478794824,2413,0.21529392500409367,16360,0.15631242836089734,11745
Text,Sentiment,main reaction amount,reaction amount,reactions,author
denkt auch jemand an die die keine Ferien nach Wunsch bekommen oder die Arbeit der gewordenen Väter auch noch machen müssen ?,['neutral'],jetzt bewerten,0,0
Kaum sind die 2 Wochen Vaterschaftsurlaub angenommen wird von der SP überlegt dies auf 8 Wochen zu erhöhen. Einen Plan wie das finanziert wird hat die SP nicht ! Träumerpartei.,['neutral'],jetzt bewerten,0,0
Wow Gratuliere zum Untergang der CH,['positive'],jetzt bewerten,0,0
@Roger Köppel,['negative'],GENAU,29,47
@Es gilt die Abstimmung zu akzeptieren ob das ein auch für die gegenseite wegen den millitärjets?,['neutral'],GENAU,24,43
Bald auch hier? Ich lese viele enttäuschte Kommentare.,['negative'],jetzt bewerten,0,0
Es sind viele Grüne und Linke die für BGI gestimmt haben. Diese sollten eine neue Partei gründen.,['neutral'],jetzt bewerten,0,0
Hatte eben ein Telefon. Guildo hat uns Schweizer alle lieb.,['positive'],jetzt bewerten,0,0
Zum Glück fliegen die Jets mit Brokkoli !! Alles so knapp - lustschtig die Farce,['negative'],jetzt bewerten,0,0
Und jetzt vollgas Richtung Regenbogen.,['neutral'],jetzt bewerten,0,0
Stell Dir vor Vaterschaftsurlaub und Jets werden angenommen und die Bundeskasse ist leer wegen Corona!,['neutral'],jetzt bewerten,0,0
@Freudi Kübler Wo ist das Problem? Steuern erhöhen und voila!,['negative'],SO NICHT,189,367
@Freudi Kübler Ein Land mit eigener Währung kann nie Bankrott gehen!,['neutral'],QUATSCH,182,262
@Freudi Kübler haha klar ist die Bundeskasse leer. # you'are a dreamer 😅,['neutral'],LOVE IT,152,198
@Freudi Kübler Die Jets müssen vom normalen armeebudged gezahlt werden und der urlaub zahlt jeder arbeitnehmer gleich selber über höhere abzüge.,['neutral'],GENAU,332,382
@Peter Sofort ab in die Arbeitslosigkeit und auf Staatskosten ferien machen Juhuii,['neutral'],LOVE IT,8,23
Auch die Schweiz hat einen grossen Schritt zur Anarchie getan. Wir freuen uns.,['neutral'],jetzt bewerten,0,0
Meines Erachtens gibt es keine präzise Hochrechnung präzise sind doch nur die Endresultate!,['negative'],jetzt bewerten,0,0
@Pedro Prinzip Hoffnung?,['neutral'],LOVE IT,71,90
Auch wenn ich die Annahme des Vaterschaftsurlaubes angenommen wird so zeigt mir die Ablehnung des Kinderabzuges doch auch auf dass wir nicht nicht gerade ein kinderfreundliches Land sind.,['negative'],jetzt bewerten,0,0
@Technogirl müssen andere für eure Kinder löhnen um Kinderfreundlich zu sein?,['negative'],LOVE IT,307,481
@Technogirl Urlaub ja zahlen nein,['negative'],GENAU,156,195
Ich mag mein Stahlhelm m35,['positive'],jetzt bewerten,0,0
Schaffen wir doch unsere Demokratie ab und übergeben alles an die Vertretung der Grosskonzerne in Brüssel. Vielleicht kommt dann noch Marco Rima zu spät und sagt wir seien in der DDR.,['neutral'],jetzt bewerten,0,0
@Juncker Grüsse aus der Realität.,['neutral'],LOVE IT,91,114
Auch wenn es für mich wohl nicht mehr in Frage kommt freue ich mich für den Vaterschaftsurlaub. Das zeigt soziales Arrangement.,['positive'],jetzt bewerten,0,0
@Tino Zuwenig und zu spät. Eine Elternzeit von 1 Jahr wäre notwendig um in der heutigen Zeit eine adäquate Lösung zu haben. Urlaub ist es ohnehin nicht.,['negative'],QUATSCH,292,410
@Tino sehe ich auch so. Weiss auch nicht warum das so diskutiert wird. Es handelt sich um 2 Wochen bei gut 40 Jahren Arbeit. Bei 2-3 Kinder um max 15 Monate. Eine Firma die das nicht stemmen kann wäre auch im Notfall du mich nicht da und ich wäre wohl nur eine Dienstnummer.,['negative'],QUATSCH,111,246
@Karl Für die die ihn kriegen werde wird es definitiv Urlaub sein. Oder denkst du die Väter bleiben zu Hause in dieser Zeit? Die werden 2 Wochen Strand- und Alkurlaub machen.,['neutral'],QUATSCH,215,399
